time,Exc,Pre,_20,_50,_100,,Excf,Pref,_20f,_50f,_100f,,sExcf,sPref,s_20f,s_50f,s_100f
62,0.200897,0.135155,-0.418548,0.303682,0.200897,,2.00897,1.35155,-4.18548,3.03682,2.00897,,175.91043,165.56213,118.74061,102.66136,175.91043
63,0.191067,0.577386,-0.082929,0.396155,0.191067,,1.91067,5.77386,-0.82929,3.96155,1.91067,,177.8211,171.33599,117.91132,106.62291,177.8211
64,0.183343,0.124003,0.246582,0.399322,0.183343,,1.83343,1.24003,2.46582,3.99322,1.83343,,179.65453,172.57602,120.37714,110.61613,179.65453
65,0.175719,0.561809,0.422135,0.382311,0.175719,,1.75719,5.61809,4.22135,3.82311,1.75719,,181.41172,178.19411,124.59849,114.43924,181.41172
66,0.176921,0.109566,0.463875,0.385433,0.176921,,1.76921,1.09566,4.63875,3.85433,1.76921,,183.18093,179.28977,129.23724,118.29357,183.18093
67,0.166187,0.541706,0.427167,0.37864,0.166187,,1.66187,5.41706,4.27167,3.7864,1.66187,,184.8428,184.70683,133.50891,122.07997,184.8428
68,0.197927,0.162265,0.385973,0.360352,0.197927,,1.97927,1.62265,3.85973,3.60352,1.97927,,186.82207,186.32948,137.36864,125.68349,186.82207
69,0.200538,0.592525,0.531929,0.430177,0.200538,,2.00538,5.92525,5.31929,4.30177,2.00538,,188.82745,192.25473,142.68793,129.98526,188.82745
70,0.196148,0.153147,0.485189,0.422572,0.196148,,1.96148,1.53147,4.85189,4.22572,1.96148,,190.78893,193.7862,147.53982,134.21098,190.78893
71,0.205988,0.57055,0.451085,0.449459,0.205988,,2.05988,5.7055,4.51085,4.49459,2.05988,,192.84881,199.4917,152.05067,138.70557,192.84881
72,0.205788,0.130005,0.426459,0.391235,0.205788,,2.05788,1.30005,4.26459,3.91235,2.05788,,194.90669,200.79175,156.31526,142.61792,194.90669
73,0.219076,0.53457,0.401384,0.427676,0.219076,,2.19076,5.3457,4.01384,4.27676,2.19076,,197.09745,206.13745,160.3291,146.89468,197.09745
